job title,company name,date,Contrat,Links
Consultant.e Cloud Infrastructure Junior H/F,Capgemini,Publié depuis il y a 2 jours,CDI,https://fr.indeed.com/Bordeaux-Emplois-python?vjk=4812319f6345ed6d
Alternant Développement Python – 042021/CESTI/KQN,SERMA Safety and Security,Publié depuis il y a 30+ jours,Alternance,https://fr.indeed.com/Bordeaux-Emplois-python?vjk=71653071fba0b3c6
Développeur Python,Scalian,Publié depuis il y a 14 jours,n/a,https://fr.indeed.com/Bordeaux-Emplois-python?vjk=acca084f2cbb230c
Développeur WEB F/H,PRO BTP GROUPE,Publié depuis il y a 30+ jours,Alternance,https://fr.indeed.com/Bordeaux-Emplois-python?vjk=48134ea23005d3b5
Backend Engineer (Python),Back Market,Publié depuis il y a 30+ jours,Temps plein,https://fr.indeed.com/Bordeaux-Emplois-python?vjk=6c0bca6f6d57e1a0
Data Scientist H/F,Groupama Gan Vie,Publié depuis il y a 12 jours,CDI,https://fr.indeed.com/Bordeaux-Emplois-python?vjk=b73d9c87baabe536
WANTED -- DEVELOPPEUR PYTHON F/H,INSIDE Group,Publié depuis il y a 30+ jours,CDI,https://fr.indeed.com/Bordeaux-Emplois-python?vjk=1ab9587e52d41ce7
Contrat d'apprentissage : Métagénomique et métabolisme – des lectures à la fonction,Inria,Publié depuis il y a 25 jours,Alternance,https://fr.indeed.com/Bordeaux-Emplois-python?vjk=da8d9153ce177f1c
Géomaticien(ne) H/F,TotalEnergies,Publié depuis il y a 30+ jours,CDI,https://fr.indeed.com/Bordeaux-Emplois-python?vjk=c5ce58e8c3c0105b
DEVELOPPEUR BACK JUNIOR PYTHON PHP,Displayce,Publié depuis il y a 30+ jours,CDI,https://fr.indeed.com/Bordeaux-Emplois-python?vjk=0f899d21f4d7db4a
DATA Analyst (F/H/NB),Ubisoft,Publié depuis il y a 30+ jours,Temps plein,https://fr.indeed.com/Bordeaux-Emplois-python?vjk=f8a9f7f1fe186668
ALTERNANCE - DEVELOPPEUR PYTHON/.NET JUNIOR F/H,Cdiscount,Publié depuis il y a 30+ jours,Alternance,https://fr.indeed.com/Bordeaux-Emplois-python?vjk=bf6fd169cd35daee
Consultant.e Cloud Infrastructure Junior H/F,Capgemini,Publié depuis il y a 2 jours,CDI,https://fr.indeed.com/Bordeaux-Emplois-python?vjk=4812319f6345ed6d
Software Engineer - Algorithms,Criteo,Publié depuis il y a 30+ jours,CDI,https://fr.indeed.com/Bordeaux-Emplois-python?vjk=3cdf14f6f9351069
Senior Software Engineer,Back Market,Publié depuis il y a 30+ jours,Temps plein,https://fr.indeed.com/Bordeaux-Emplois-python?vjk=e899e8ef22938f5f
,,,,https://fr.indeed.com/Bordeaux-Emplois-python?vjk=96ca331b9bcb04ba
